experiment,model,feature_set,feature,target,sample,n,pearson,spearman,mutual_information,horizon,lag,is_predictive
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_9,dBTC_y_lag_9,future_rms_h6,development_train,18242,0.0014644498959587647,0.005447576829190145,0.002424773480871778,6,9,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_10,dBTC_y_lag_10,future_rms_h6,development_train,18241,0.0017773686990376922,0.009868044233405631,0.005496150719489279,6,10,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_11,dBTC_y_lag_11,future_rms_h6,development_train,18240,0.003045741076660642,0.007429268116910589,0.003755523217487955,6,11,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_12,dBTC_y_lag_12,future_rms_h6,development_train,18239,-0.001303690710338065,0.004934151910864882,0.0003094806009302786,6,12,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_13,dBTC_y_lag_13,future_rms_h6,development_train,18238,0.005479859122951448,0.00961088711263096,0.0,6,13,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_14,dBTC_y_lag_14,future_rms_h6,development_train,18237,0.004731168174467701,0.008627135427717252,0.0029765313511926905,6,14,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_15,dBTC_y_lag_15,future_rms_h6,development_train,18236,0.004173049480541902,0.006161323618126741,0.0,6,15,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_16,dBTC_y_lag_16,future_rms_h6,development_train,18235,0.005808267700481412,0.006078303234049594,0.002759349760764529,6,16,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_17,dBTC_y_lag_17,future_rms_h6,development_train,18234,0.004665002857040724,0.007093860254681139,0.005287871189572968,6,17,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_18,dBTC_y_lag_18,future_rms_h6,development_train,18233,0.006505134762015041,0.008096380604665027,0.0,6,18,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_19,dBTC_y_lag_19,future_rms_h6,development_train,18232,0.004724113415261708,0.009094534125316758,0.0,6,19,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_20,dBTC_y_lag_20,future_rms_h6,development_train,18231,0.004659313099227894,0.009652717989820491,0.004007369510292236,6,20,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_0,dBTC_y_lag_0,future_rms_h12,development_train,18251,0.007766871848183011,0.011338399148386687,0.0004855132452545874,12,0,True
G_future_volatility_scan,nonparametric_dependency,dBTC_y_lag_1,dBTC_y_lag_1,future_rms_h12,development_train,18250,0.004000600585867486,0.009604793283552116,0.009797004407736232,12,1,True
