experiment,model,feature_set,regime_scheme,split,class_id,class_name,precision,recall,f1,support,fold
I_J_regime_classification_by_class,tree_volatility,simple_volatility,5_quintiles,fold_1,2,MID,0.14759535655058043,0.22879177377892032,0.17943548387096775,389,1
I_J_regime_classification_by_class,tree_volatility,simple_volatility,5_quintiles,fold_1,3,HIGH,0.0,0.0,0.0,569,1
I_J_regime_classification_by_class,tree_volatility,simple_volatility,5_quintiles,fold_1,4,VERY_HIGH,0.6220839813374806,0.796812749003984,0.6986899563318777,1506,1
I_J_regime_classification_by_class,tree_topology,simple_topology,5_quintiles,fold_1,0,VERY_LOW,0.19202363367799113,0.5220883534136547,0.28077753779697623,249,1
I_J_regime_classification_by_class,tree_topology,simple_topology,5_quintiles,fold_1,1,LOW,0.13240418118466898,0.11801242236024845,0.12479474548440066,322,1
I_J_regime_classification_by_class,tree_topology,simple_topology,5_quintiles,fold_1,2,MID,0.12929061784897025,0.29048843187660667,0.1789390340459224,389,1
I_J_regime_classification_by_class,tree_topology,simple_topology,5_quintiles,fold_1,3,HIGH,0.1593172119487909,0.1968365553602812,0.1761006289308176,569,1
I_J_regime_classification_by_class,tree_topology,simple_topology,5_quintiles,fold_1,4,VERY_HIGH,0.6356275303643725,0.20849933598937584,0.314,1506,1
I_J_regime_classification_by_class,tree_volatility_plus_topology,simple_combined,5_quintiles,fold_1,0,VERY_LOW,0.32679738562091504,0.40160642570281124,0.36036036036036034,249,1
I_J_regime_classification_by_class,tree_volatility_plus_topology,simple_combined,5_quintiles,fold_1,1,LOW,0.0,0.0,0.0,322,1
I_J_regime_classification_by_class,tree_volatility_plus_topology,simple_combined,5_quintiles,fold_1,2,MID,0.1808972503617945,0.3213367609254499,0.23148148148148148,389,1
I_J_regime_classification_by_class,tree_volatility_plus_topology,simple_combined,5_quintiles,fold_1,3,HIGH,0.27522935779816515,0.05272407732864675,0.08849557522123894,569,1
I_J_regime_classification_by_class,tree_volatility_plus_topology,simple_combined,5_quintiles,fold_1,4,VERY_HIGH,0.6220839813374806,0.796812749003984,0.6986899563318777,1506,1
I_J_regime_classification_by_class,lightgbm_volatility_multiscale,advanced_volatility,5_quintiles,fold_1,0,VERY_LOW,0.4,0.30522088353413657,0.3462414578587699,249,1
I_J_regime_classification_by_class,lightgbm_volatility_multiscale,advanced_volatility,5_quintiles,fold_1,1,LOW,0.22598870056497175,0.12422360248447205,0.16032064128256512,322,1
I_J_regime_classification_by_class,lightgbm_volatility_multiscale,advanced_volatility,5_quintiles,fold_1,2,MID,0.1939252336448598,0.2133676092544987,0.20318237454100369,389,1
I_J_regime_classification_by_class,lightgbm_volatility_multiscale,advanced_volatility,5_quintiles,fold_1,3,HIGH,0.240625,0.27065026362038663,0.2547559966914806,569,1
I_J_regime_classification_by_class,lightgbm_volatility_multiscale,advanced_volatility,5_quintiles,fold_1,4,VERY_HIGH,0.68,0.7224435590969456,0.7005795235028976,1506,1
I_J_regime_classification_by_class,lightgbm_topology_multiscale,advanced_topology,5_quintiles,fold_1,0,VERY_LOW,0.16079632465543645,0.42168674698795183,0.2328159645232816,249,1
I_J_regime_classification_by_class,lightgbm_topology_multiscale,advanced_topology,5_quintiles,fold_1,1,LOW,0.14143426294820718,0.2204968944099379,0.17233009708737865,322,1
I_J_regime_classification_by_class,lightgbm_topology_multiscale,advanced_topology,5_quintiles,fold_1,2,MID,0.12874779541446207,0.18766066838046272,0.15271966527196654,389,1
I_J_regime_classification_by_class,lightgbm_topology_multiscale,advanced_topology,5_quintiles,fold_1,3,HIGH,0.19071310116086235,0.20210896309314588,0.1962457337883959,569,1
I_J_regime_classification_by_class,lightgbm_topology_multiscale,advanced_topology,5_quintiles,fold_1,4,VERY_HIGH,0.6267605633802817,0.2954847277556441,0.4016245487364621,1506,1
I_J_regime_classification_by_class,lightgbm_volatility_plus_topology,advanced_combined,5_quintiles,fold_1,0,VERY_LOW,0.37244897959183676,0.2931726907630522,0.32808988764044944,249,1
I_J_regime_classification_by_class,lightgbm_volatility_plus_topology,advanced_combined,5_quintiles,fold_1,1,LOW,0.21993127147766323,0.19875776397515527,0.20880913539967375,322,1
I_J_regime_classification_by_class,lightgbm_volatility_plus_topology,advanced_combined,5_quintiles,fold_1,2,MID,0.1958762886597938,0.1953727506426735,0.1956241956241956,389,1
I_J_regime_classification_by_class,lightgbm_volatility_plus_topology,advanced_combined,5_quintiles,fold_1,3,HIGH,0.22759856630824374,0.22319859402460457,0.225377107364685,569,1
I_J_regime_classification_by_class,lightgbm_volatility_plus_topology,advanced_combined,5_quintiles,fold_1,4,VERY_HIGH,0.6704119850187266,0.7131474103585658,0.6911196911196911,1506,1
I_J_regime_classification_by_class,dummy_most_frequent,dummy,3_regimes,fold_2,0,LOW,0.0,0.0,0.0,690,2
I_J_regime_classification_by_class,dummy_most_frequent,dummy,3_regimes,fold_2,1,MID,0.0,0.0,0.0,1053,2
I_J_regime_classification_by_class,dummy_most_frequent,dummy,3_regimes,fold_2,2,HIGH,0.4257001647446458,1.0,0.5971804945689855,1292,2
I_J_regime_classification_by_class,tree_volatility,simple_volatility,3_regimes,fold_2,0,LOW,0.34146341463414637,0.48695652173913045,0.4014336917562724,690,2
I_J_regime_classification_by_class,tree_volatility,simple_volatility,3_regimes,fold_2,1,MID,0.41312741312741313,0.20322886989553657,0.27243793761935076,1053,2
I_J_regime_classification_by_class,tree_volatility,simple_volatility,3_regimes,fold_2,2,HIGH,0.5335942596216569,0.6331269349845201,0.5791150442477876,1292,2
I_J_regime_classification_by_class,tree_topology,simple_topology,3_regimes,fold_2,0,LOW,0.282312925170068,0.4811594202898551,0.3558413719185423,690,2
I_J_regime_classification_by_class,tree_topology,simple_topology,3_regimes,fold_2,1,MID,0.3786764705882353,0.09781576448243115,0.15547169811320755,1053,2
I_J_regime_classification_by_class,tree_topology,simple_topology,3_regimes,fold_2,2,HIGH,0.49653434152488973,0.6099071207430341,0.5474122959360889,1292,2
I_J_regime_classification_by_class,tree_volatility_plus_topology,simple_combined,3_regimes,fold_2,0,LOW,0.3455328310010764,0.4652173913043478,0.3965410747374923,690,2
I_J_regime_classification_by_class,tree_volatility_plus_topology,simple_combined,3_regimes,fold_2,1,MID,0.3525305410122164,0.19183285849952517,0.24846248462484624,1053,2
I_J_regime_classification_by_class,tree_volatility_plus_topology,simple_combined,3_regimes,fold_2,2,HIGH,0.5335942596216569,0.6331269349845201,0.5791150442477876,1292,2
I_J_regime_classification_by_class,lightgbm_volatility_multiscale,advanced_volatility,3_regimes,fold_2,0,LOW,0.5152439024390244,0.24492753623188407,0.3320235756385069,690,2
I_J_regime_classification_by_class,lightgbm_volatility_multiscale,advanced_volatility,3_regimes,fold_2,1,MID,0.4060657118786858,0.4577397910731244,0.4303571428571429,1053,2
I_J_regime_classification_by_class,lightgbm_volatility_multiscale,advanced_volatility,3_regimes,fold_2,2,HIGH,0.5486842105263158,0.6455108359133127,0.5931721194879089,1292,2
I_J_regime_classification_by_class,lightgbm_topology_multiscale,advanced_topology,3_regimes,fold_2,0,LOW,0.324181626187962,0.4449275362318841,0.3750763591936469,690,2
I_J_regime_classification_by_class,lightgbm_topology_multiscale,advanced_topology,3_regimes,fold_2,1,MID,0.3649025069637883,0.24881291547958215,0.29587803500846976,1053,2
I_J_regime_classification_by_class,lightgbm_topology_multiscale,advanced_topology,3_regimes,fold_2,2,HIGH,0.5043795620437956,0.5348297213622291,0.5191585274229902,1292,2
I_J_regime_classification_by_class,lightgbm_volatility_plus_topology,advanced_combined,3_regimes,fold_2,0,LOW,0.46987951807228917,0.2826086956521739,0.35294117647058826,690,2
I_J_regime_classification_by_class,lightgbm_volatility_plus_topology,advanced_combined,3_regimes,fold_2,1,MID,0.4124748490945674,0.38936372269705605,0.40058622374206154,1053,2
I_J_regime_classification_by_class,lightgbm_volatility_plus_topology,advanced_combined,3_regimes,fold_2,2,HIGH,0.5535055350553506,0.6965944272445821,0.6168608636052091,1292,2
I_J_regime_classification_by_class,dummy_most_frequent,dummy,5_extreme_4_5,fold_2,0,EXTREME_LOW,0.0,0.0,0.0,59,2
I_J_regime_classification_by_class,dummy_most_frequent,dummy,5_extreme_4_5,fold_2,1,LOW,0.2257001647446458,1.0,0.3682795698924731,685,2
I_J_regime_classification_by_class,dummy_most_frequent,dummy,5_extreme_4_5,fold_2,2,MID,0.0,0.0,0.0,948,2
I_J_regime_classification_by_class,dummy_most_frequent,dummy,5_extreme_4_5,fold_2,3,HIGH,0.0,0.0,0.0,1199,2
I_J_regime_classification_by_class,dummy_most_frequent,dummy,5_extreme_4_5,fold_2,4,EXTREME_HIGH,0.0,0.0,0.0,144,2
I_J_regime_classification_by_class,tree_volatility,simple_volatility,5_extreme_4_5,fold_2,0,EXTREME_LOW,0.0,0.0,0.0,59,2
I_J_regime_classification_by_class,tree_volatility,simple_volatility,5_extreme_4_5,fold_2,1,LOW,0.3212045169385194,0.37372262773722625,0.34547908232118757,685,2
I_J_regime_classification_by_class,tree_volatility,simple_volatility,5_extreme_4_5,fold_2,2,MID,0.33617021276595743,0.25,0.2867513611615245,948,2
I_J_regime_classification_by_class,tree_volatility,simple_volatility,5_extreme_4_5,fold_2,3,HIGH,0.4840182648401826,0.6188490408673895,0.5431918008784773,1199,2
