experiment,model,model_family,feature_set,backend,regime_scheme,split,seed,n_train,n_eval,accuracy,balanced_accuracy,macro_f1,log_loss,fold
I_J_regime_classification,dummy_most_frequent,classification,dummy,decision_tree_or_dummy,5_extreme_4_5,fold_4,42,12143,3035,0.3657331136738056,0.2,0.10711700844390833,22.86129580693592,4
I_J_regime_classification,tree_volatility,classification,simple_volatility,decision_tree_or_dummy,5_extreme_4_5,fold_4,42,12143,3035,0.3779242174629325,0.25299971793607146,0.19998922248490786,1.2791362592512294,4
I_J_regime_classification,tree_topology,classification,simple_topology,decision_tree_or_dummy,5_extreme_4_5,fold_4,42,12143,3035,0.33904448105436574,0.2184400970325469,0.2040595323865662,1.338030512621581,4
I_J_regime_classification,tree_volatility_plus_topology,classification,simple_combined,decision_tree_or_dummy,5_extreme_4_5,fold_4,42,12143,3035,0.38220757825370677,0.2504291332747271,0.23809502669515842,1.2810676658364877,4
I_J_regime_classification,lightgbm_volatility_multiscale,classification,advanced_volatility,lightgbm,5_extreme_4_5,fold_4,42,12143,3035,0.42668863261943984,0.2791590705635263,0.2714111042258066,1.2489174497132685,4
I_J_regime_classification,lightgbm_topology_multiscale,classification,advanced_topology,lightgbm,5_extreme_4_5,fold_4,42,12143,3035,0.34892915980230643,0.22839214017074455,0.2160401424860135,1.3585450465893252,4
I_J_regime_classification,lightgbm_volatility_plus_topology,classification,advanced_combined,lightgbm,5_extreme_4_5,fold_4,42,12143,3035,0.4227347611202636,0.2798035553484289,0.27351202868026037,1.2496640883240357,4
I_J_regime_classification,dummy_most_frequent,classification,dummy,decision_tree_or_dummy,5_quintiles,fold_4,42,12143,3035,0.24975288303130147,0.2,0.07993672554706037,27.041647040204197,4
I_J_regime_classification,tree_volatility,classification,simple_volatility,decision_tree_or_dummy,5_quintiles,fold_4,42,12143,3035,0.2912685337726524,0.288238464259018,0.24527686598176981,1.544631452904604,4
I_J_regime_classification,tree_topology,classification,simple_topology,decision_tree_or_dummy,5_quintiles,fold_4,42,12143,3035,0.2313014827018122,0.23288428698208294,0.18740645350494947,1.6077355000610705,4
I_J_regime_classification,tree_volatility_plus_topology,classification,simple_combined,decision_tree_or_dummy,5_quintiles,fold_4,42,12143,3035,0.26655683690280063,0.27120986893734467,0.23135698111833528,1.5519597840647508,4
I_J_regime_classification,lightgbm_volatility_multiscale,classification,advanced_volatility,lightgbm,5_quintiles,fold_4,42,12143,3035,0.3182866556836903,0.31208749598293994,0.31243559243227986,1.5105147445259206,4
I_J_regime_classification,lightgbm_topology_multiscale,classification,advanced_topology,lightgbm,5_quintiles,fold_4,42,12143,3035,0.2313014827018122,0.23249605915014163,0.22531434885070983,1.6270033808431146,4
I_J_regime_classification,lightgbm_volatility_plus_topology,classification,advanced_combined,lightgbm,5_quintiles,fold_4,42,12143,3035,0.3100494233937397,0.30659344095924906,0.30516262181149717,1.5127122871522463,4
I_J_regime_classification,dummy_most_frequent,classification,dummy,decision_tree_or_dummy,3_regimes,fold_5,42,15178,3035,0.18682042833607906,0.3333333333333333,0.10494169905607996,29.309962624165113,5
I_J_regime_classification,tree_volatility,classification,simple_volatility,decision_tree_or_dummy,3_regimes,fold_5,42,15178,3035,0.4639209225700165,0.43006722207391346,0.4189072402778318,1.0343900253511915,5
I_J_regime_classification,tree_topology,classification,simple_topology,decision_tree_or_dummy,3_regimes,fold_5,42,15178,3035,0.4484349258649094,0.39705086443670323,0.3730231874680454,1.042744109863469,5
