experiment,model,baseline_model,feature_set,contrast,regime_scheme,split,gain_accuracy,gain_balanced_accuracy,gain_macro_f1,gain_log_loss,relative_gain_macro_f1
K_topology_utility,tree_volatility_plus_topology,tree_volatility,simple_combined,incremental_simple_topology,5_extreme_4_5,fold_4,0.004283360790774293,-0.002570584661344355,0.03810580421025056,-0.0019314065852582551,0.19053928875155357
K_topology_utility,lightgbm_volatility_plus_topology,lightgbm_volatility_multiscale,advanced_combined,incremental_advanced_topology,5_extreme_4_5,fold_4,-0.003953871499176254,0.0006444847849025881,0.0021009244544537564,-0.0007466386107672918,0.007740746129184961
K_topology_utility,tree_topology,dummy_most_frequent,simple_topology,intrinsic_simple_topology_vs_dummy,5_quintiles,fold_4,-0.018451400329489276,0.03288428698208293,0.1074697279578891,25.433911540143125,1.3444349543016934
K_topology_utility,tree_volatility_plus_topology,tree_volatility,simple_combined,incremental_simple_topology,5_quintiles,fold_4,-0.02471169686985175,-0.017028595321673334,-0.01391988486343454,-0.0073283311601468615,-0.05675172343595236
K_topology_utility,lightgbm_volatility_plus_topology,lightgbm_volatility_multiscale,advanced_combined,incremental_advanced_topology,5_quintiles,fold_4,-0.008237232289950602,-0.00549405502369088,-0.007272970620782693,-0.0021975426263256548,-0.023278303743063833
K_topology_utility,tree_topology,dummy_most_frequent,simple_topology,intrinsic_simple_topology_vs_dummy,3_regimes,fold_5,0.26161449752883037,0.06371753110336992,0.26808148841196544,28.267218514301643,2.554575453068517
K_topology_utility,tree_volatility_plus_topology,tree_volatility,simple_combined,incremental_simple_topology,3_regimes,fold_5,-0.0023064250411861664,0.0018957771790186206,0.011869074430981952,0.008429944698262526,0.028333419167236196
K_topology_utility,lightgbm_volatility_plus_topology,lightgbm_volatility_multiscale,advanced_combined,incremental_advanced_topology,3_regimes,fold_5,-0.0062602965403624755,-0.0023543127781386897,-0.004195091257861938,-0.0022008574219738453,-0.009276585019192818
K_topology_utility,tree_topology,dummy_most_frequent,simple_topology,intrinsic_simple_topology_vs_dummy,5_extreme_4_5,fold_5,-0.002635914332784206,0.035194712509254295,0.08071271406543436,19.903670309135055,0.6913163319033806
K_topology_utility,tree_volatility_plus_topology,tree_volatility,simple_combined,incremental_simple_topology,5_extreme_4_5,fold_5,0.014827018121911062,0.00736646267074384,0.021370444425856977,0.00530688058006068,0.09863078655751356
K_topology_utility,lightgbm_volatility_plus_topology,lightgbm_volatility_multiscale,advanced_combined,incremental_advanced_topology,5_extreme_4_5,fold_5,0.007248764415156483,0.011087559241448663,0.013506234855426347,-0.004917666165329626,0.053867069450276084
K_topology_utility,tree_topology,dummy_most_frequent,simple_topology,intrinsic_simple_topology_vs_dummy,5_quintiles,fold_5,-0.018121911037891236,0.046499136864613266,0.09831948383161018,24.07790283890711,1.0964248025919585
K_topology_utility,tree_volatility_plus_topology,tree_volatility,simple_combined,incremental_simple_topology,5_quintiles,fold_5,0.0,-0.0003691226526607583,0.002345288567628251,0.007273085604112994,0.010008165864823004
K_topology_utility,lightgbm_volatility_plus_topology,lightgbm_volatility_multiscale,advanced_combined,incremental_advanced_topology,5_quintiles,fold_5,-0.005601317957166396,-0.0013987968728811362,-0.007109360572706003,-0.003266422722195461,-0.024604418175466547
