Modelo,CE,KL,JS,Aitchison,MAE_nodo,RMSE_nodo,Error_cierre_max,N_test,seed,Aitchison_activos,N_nodos_activos
GAT + NPP,2.9747655321126785,0.18245948783984695,0.038981578117736476,4.670277706004936,0.0008434995313215347,0.007297121352207258,4.440892098500626e-16,2016,67,3.336459468243357,440.0
Persistencia,3.0562440941229676,0.26393804985013597,0.051145818612689055,2.7778904840172887,0.0009685200747843656,0.008657758098018586,4.440892098500626e-16,2016,101,2.8721510142815867,440.0
GAT 100% libre,2.9762560814907393,0.18395003721790845,0.03917712113342701,4.614824705627273,0.0008441617230376547,0.007288840933773751,4.440892098500626e-16,2016,101,3.319077910917629,440.0
GAT NPP solo aristas,2.9752845428704537,0.1829784985976228,0.03892546604646173,4.6343438799374645,0.0008423196197190557,0.007294799459311464,4.440892098500626e-16,2016,101,3.315824690531108,440.0
GAT + NPP,2.974221733161418,0.18191568888858706,0.03894766743842435,4.637293976368642,0.0008422576445109348,0.00727041068924663,4.440892098500626e-16,2016,101,3.3114390231312374,440.0
Persistencia,3.0562440941229676,0.26393804985013597,0.051145818612689055,2.7778904840172887,0.0009685200747843656,0.008657758098018586,4.440892098500626e-16,2016,137,2.8721510142815867,440.0
GAT 100% libre,2.975943269505037,0.18363722523220596,0.03901987426450393,4.632298013427328,0.0008427469216634077,0.007259478353460547,4.440892098500626e-16,2016,137,3.3206023082843883,440.0
GAT NPP solo aristas,2.974844644854923,0.18253860058209126,0.03880686285072891,4.623639727980684,0.0008398013603203359,0.007255704446978272,4.440892098500626e-16,2016,137,3.3059093924145135,440.0
GAT + NPP,2.974668228072368,0.18236218379953675,0.03898172130953325,4.688675398625885,0.0008429660608886126,0.007274689993920037,4.440892098500626e-16,2016,137,3.3147363019672103,440.0
Persistencia,3.0562440941229676,0.26393804985013597,0.051145818612689055,2.7778904840172887,0.0009685200747843656,0.008657758098018586,4.440892098500626e-16,2016,211,2.8721510142815867,440.0
GAT 100% libre,2.9753964675392957,0.1830904232664644,0.0389981009512574,4.547688587370109,0.0008440753036561037,0.007261141287335901,4.440892098500626e-16,2016,211,3.298268023581906,440.0
GAT NPP solo aristas,2.9750036186470905,0.18269757437425915,0.0388147449754674,4.564632890009751,0.000841725338545873,0.0072776837910796645,4.440892098500626e-16,2016,211,3.3087036281756896,440.0
GAT + NPP,2.973702380315169,0.18139633604233815,0.038897328238632345,4.660636258080212,0.0008432584038058647,0.007255877374889732,4.440892098500626e-16,2016,211,3.3227922970148795,440.0
Persistencia,3.0562440941229676,0.26393804985013597,0.051145818612689055,2.7778904840172887,0.0009685200747843656,0.008657758098018586,4.440892098500626e-16,2016,307,2.8721510142815867,440.0
GAT 100% libre,2.9752509856751423,0.18294494140231143,0.039079779069123445,4.626292246013934,0.0008444707291753229,0.007267318185435541,4.440892098500626e-16,2016,307,3.301044892943631,440.0
GAT NPP solo aristas,2.974170105925861,0.18186406165303015,0.03898683110627244,4.580318357273591,0.0008424424164528314,0.007264544999678539,4.440892098500626e-16,2016,307,3.290103313735295,440.0
GAT + NPP,2.9739649842234743,0.18165893995064325,0.039053032557448346,4.670632328508191,0.0008437765040080837,0.007259075434351168,4.440892098500626e-16,2016,307,3.3271128502098235,440.0
Persistencia,3.0562440941229676,0.26393804985013597,0.051145818612689055,2.7778904840172887,0.0009685200747843656,0.008657758098018586,4.440892098500626e-16,2016,401,2.8721510142815867,440.0
GAT 100% libre,2.9760946815460234,0.18378863727319222,0.03908913958325596,4.565148471958236,0.0008430807637354653,0.007285702077880627,4.440892098500626e-16,2016,401,3.3004082012815763,440.0
